county,drop,drop,drop,GDP,drop,drop,drop,drop,drop,
Floyd,"2,780,151","2,993,923","3,106,847",3153211,25,7.7,3.8,1.5,44,
Fountain,"466,064","528,238","556,208",576236,78,13.3,5.3,3.6,16,
Franklin,"519,329","551,899","544,013",562803,79,6.3,-1.4,3.5,17,
Fulton,"671,083","699,477","687,071",716930,70,4.2,-1.8,4.3,11,
Gibson,"3,340,175","3,635,029","3,956,439",3773866,23,8.8,8.8,-4.6,88,
Grant,"2,325,161","2,489,814","2,524,904",2526146,31,7.1,1.4,0.0,61,
Greene,"609,997","642,932","636,169",663129,75,5.4,-1.1,4.2,12,
Hamilton,"20,009,859","21,871,121","22,718,108",23231110,3,9.3,3.9,2.3,31,
Hancock,"3,243,824","3,547,169","3,636,780",3761571,24,9.4,2.5,3.4,18,
Harrison,"1,147,858","1,216,748","1,216,913",1239291,53,6.0,0.0,1.8,38,
Hendricks,"7,023,530","7,466,215","7,590,408",7751155,10,6.3,1.7,2.1,34,
Henry,"1,364,660","1,495,907","1,525,889",1536053,46,9.6,2.0,0.7,54,
Howard,"4,133,195","4,650,719","4,938,847",4968417,17,12.5,6.2,0.6,55,
Huntington,"1,403,097","1,537,810","1,585,906",1582554,44,9.6,3.1,-0.2,65,
Jackson,"2,483,145","2,797,067","2,929,509",2882407,27,12.6,4.7,-1.6,81,
Jasper,"1,451,551","1,535,657","1,440,480",1438667,51,5.8,-6.2,-0.1,62,
Jay,"873,209","973,073","1,080,264",1052466,59,11.4,11.0,-2.6,84,
Jefferson,"1,505,808","1,644,085","1,728,894",1713315,42,9.2,5.2,-0.9,72,
Jennings,"719,780","722,077","734,236",749300,67,0.3,1.7,2.1,36,
Johnson,"5,544,320","5,985,947","5,982,302",6157867,14,8.0,-0.1,2.9,24,
Knox,"1,823,591","1,872,489","1,920,542",1903915,37,2.7,2.6,-0.9,71,
Kosciusko,"5,854,402","6,230,685","6,255,250",6390847,13,6.4,0.4,2.2,33,
Lagrange,"1,665,751","1,876,107","2,052,104",1938105,36,12.6,9.4,-5.6,89,
Lake,"21,222,777","22,628,978","23,053,862",24165578,2,6.6,1.9,4.8,8,
LaPorte,"3,978,308","4,216,451","4,196,224",4396220,19,6.0,-0.5,4.8,9,
Lawrence,"1,312,546","1,458,352","1,458,784",1488721,49,11.1,0.0,2.1,35,
Madison,"3,746,388","4,068,766","4,073,816",4131600,22,8.6,0.1,1.4,45,
Marion,"94,330,001","100,212,051","105,187,622",106819869,1,6.2,5.0,1.6,41,
Marshall,"1,621,710","1,670,332","1,689,347",1726578,41,3.0,1.1,2.2,32,
Martin,"1,127,237","1,141,382","1,215,870",1185807,55,1.3,6.5,-2.5,83,
Miami,"909,294","952,560","907,025",936012,61,4.8,-4.8,3.2,19,
Monroe,"6,760,555","6,930,969","7,197,291",7295054,11,2.5,3.8,1.4,46,
Montgomery,"1,612,566","1,744,183","1,837,807",1882560,38,8.2,5.4,2.4,28,
Morgan,"1,876,705","1,773,386","1,934,533",1989762,35,-5.5,9.1,2.9,25,
Newton,"346,732","379,686","369,920",354299,85,9.5,-2.6,-4.2,87,
Noble,"1,857,964","2,036,340","2,066,749",2045852,34,9.6,1.5,-1.0,74,
Ohio,"119,830","125,818","111,398",113603,92,5.0,-11.5,2.0,37,
Orange,"599,752","648,028","690,144",675715,73,8.0,6.5,-2.1,82,
Owen,"527,751","581,288","607,112",612523,77,10.1,4.4,0.9,51,
Parke,"368,544","401,563","385,149",412240,84,9.0,-4.1,7.0,3,
Perry,"702,881","811,010","880,328",930525,63,15.4,8.5,5.7,5,
Pike,"647,969","695,751","702,913",531808,82,7.4,1.0,-24.3,92,
Porter,"7,048,880","7,487,967","7,914,535",8223354,9,6.2,5.7,3.9,14,
Posey,"3,073,425","4,494,330","4,194,475",4598651,18,46.2,-6.7,9.6,1,
Pulaski,"630,856","675,895","693,144",709451,71,7.1,2.6,2.4,30,
Putnam,"1,082,473","1,120,223","1,089,857",1107496,57,3.5,-2.7,1.6,40,
Randolph,"743,178","884,593","938,239",928348,64,19.0,6.1,-1.1,75,
Ripley,"1,156,604","1,202,678","1,121,295",1078202,58,4.0,-6.8,-3.8,86,
Rush,"574,438","618,873","612,227",663526,74,7.7,-1.1,8.4,2,
St. Joseph,"13,736,554","14,481,900","14,749,070",14975120,6,5.4,1.8,1.5,42,
Scott,"686,326","733,016","720,532",717434,69,6.8,-1.7,-0.4,66,
Shelby,"1,907,799","1,997,033","2,091,793",2174492,32,4.7,4.7,4.0,13,
Spencer,"893,469","986,929","987,398",912024,65,10.5,0.0,-7.6,90,
Starke,"545,982","564,223","531,912",561117,81,3.3,-5.7,5.5,7,
Steuben,"1,391,186","1,515,934","1,530,296",1511050,48,9.0,0.9,-1.3,77,
Sullivan,"803,008","941,995","981,557",968271,60,17.3,4.2,-1.4,79,
Switzerland,"214,881","242,682","242,116",244489,89,12.9,-0.2,1.0,50,
Tippecanoe,"9,727,401","10,005,286","10,599,741",10924881,8,2.9,5.9,3.1,21,
Tipton,"612,608","663,726","667,853",657663,76,8.3,0.6,-1.5,80,
Union,"141,200","146,344","143,480",147699,91,3.6,-2.0,2.9,23,
Vanderburgh,"10,853,822","11,466,589","11,581,260",11755123,7,5.6,1.0,1.5,43,
Vermillion,"879,013","924,612","937,631",935783,62,5.2,1.4,-0.2,64,
Vigo,"4,539,365","4,787,675","4,853,963",5006205,16,5.5,1.4,3.1,20,
Wabash,"1,135,918","1,249,921","1,289,744",1311465,52,10.0,3.2,1.7,39,
Warren,"225,651","295,983","285,165",283351,88,31.2,-3.7,-0.6,69,
Warrick,"2,379,919","2,515,387","2,538,910",2690518,30,5.7,0.9,6.0,4,
Washington,"613,325","678,405","722,568",718095,68,10.6,6.5,-0.6,68,
Wayne,"2,718,399","2,826,323","2,887,209",2969521,26,4.0,2.2,2.9,26,
Wells,"1,072,859","1,200,243","1,191,123",1199283,54,11.9,-0.8,0.7,53,
White,"1,019,452","1,115,968","1,154,407",1143932,56,9.5,3.4,-0.9,73,
Whitley,"1,549,805","1,795,158","1,960,105",2050396,33,15.8,9.2,4.6,10,
,,,,,,,,,,
Iowa,"186,328,235","201,147,119","201,580,392",202051377,--,8.0,0.2,0.2,--,
Adair,"442,602","496,410","501,107",500394,76,12.2,0.9,-0.1,46,
Adams,"196,215","223,983","210,278",215688,97,14.2,-6.1,2.6,21,
Allamakee,"593,063","565,161","568,279",533600,72,-4.7,0.6,-6.1,87,
Appanoose,"402,510","443,826","405,626",393687,84,10.3,-8.6,-2.9,73,
Audubon,"284,777","317,281","327,647",347585,88,11.4,3.3,6.1,4,
Benton,"840,331","907,957","866,448",897548,41,8.0,-4.6,3.6,16,
Black Hawk,"7,689,241","8,120,284","8,014,005",7953333,6,5.6,-1.3,-0.8,53,
Boone,"1,011,922","1,064,310","1,049,733",1040805,31,5.2,-1.4,-0.9,54,
Bremer,"1,071,908","1,187,430","1,228,026",1205892,27,10.8,3.4,-1.8,66,
Buchanan,"750,698","807,053","810,881",827922,46,7.5,0.5,2.1,24,
Buena Vista,"1,217,821","1,327,324","1,427,160",1425482,23,9.0,7.5,-0.1,45,
Butler,"395,597","534,941","546,569",550384,68,35.2,2.2,0.7,34,
Calhoun,"375,892","435,912","438,209",427098,82,16.0,0.5,-2.5,71,
Carroll,"1,291,355","1,348,920","1,365,191",1355124,24,4.5,1.2,-0.7,52,
Cass,"631,437","693,814","696,269",726514,57,9.9,0.4,4.3,9,
Cedar,"560,717","680,460","661,006",629905,62,21.4,-2.9,-4.7,79,
Cerro Gordo,"2,420,809","2,609,191","2,661,244",2771827,11,7.8,2.0,4.2,10,
Cherokee,"623,724","728,299","786,782",810264,49,16.8,8.0,3.0,19,
Chickasaw,"594,492","724,095","777,320",806330,51,21.8,7.4,3.7,15,
Clarke,"393,545","424,917","459,180",438218,81,8.0,8.1,-4.6,78,
Clay,"1,003,466","1,034,794","1,088,682",1104274,30,3.1,5.2,1.4,30,
Clayton,"804,156","846,774","865,171",850637,44,5.3,2.2,-1.7,64,
Clinton,"2,168,700","2,383,105","2,329,444",2288022,14,9.9,-2.3,-1.8,65,
Crawford,"712,868","805,664","785,968",812843,48,13.0,-2.4,3.4,18,
Dallas,"6,482,952","7,039,842","7,597,035",8031733,5,8.6,7.9,5.7,5,
Davis,"248,058","281,019","306,258",291449,92,13.3,9.0,-4.8,82,
Decatur,"205,128","232,966","232,054",207514,98,13.6,-0.4,-10.6,97,
Delaware,"875,769","902,817","938,047",944374,36,3.1,3.9,0.7,35,
Des Moines,"2,149,430","2,255,152","2,159,393",2124389,16,4.9,-4.2,-1.6,62,
Dickinson,"961,893","1,056,141","1,086,663",1105415,29,9.8,2.9,1.7,27,
Dubuque,"6,591,464","6,752,157","6,956,228",7014874,7,2.4,3.0,0.8,31,
Emmet,"331,847","389,629","397,317",346032,89,17.4,2.0,-12.9,99,
Fayette,"706,059","746,934","770,465",758170,55,5.8,3.2,-1.6,61,
Floyd,"753,225","866,524","871,957",886329,42,15.0,0.6,1.6,28,
Franklin,"537,423","643,896","647,869",614966,64,19.8,0.6,-5.1,83,
Fremont,"296,595","351,983","316,691",328808,91,18.7,-10.0,3.8,13,
Greene,"464,793","567,379","546,867",514357,73,22.1,-3.6,-5.9,85,
Grundy,"499,478","593,568","579,279",570433,66,18.8,-2.4,-1.5,60,
Guthrie,"451,667","502,999","520,074",534964,71,11.4,3.4,2.9,20,
Hamilton,"671,259","794,417","831,057",788053,53,18.3,4.6,-5.2,84,
Hancock,"721,216","883,839","960,000",897652,40,22.5,8.6,-6.5,89,
Hardin,"731,314","896,482","949,124",933199,37,22.6,5.9,-1.7,63,
Harrison,"416,051","513,903","532,723",535290,70,23.5,3.7,0.5,37,
Henry,"911,258","974,936","944,757",899720,38,7.0,-3.1,-4.8,81,
Howard,"436,603","514,906","528,721",540575,69,17.9,2.7,2.2,22,
Humboldt,"419,975","466,043","449,036",451174,80,11.0,-3.6,0.5,38,
Ida,"579,716","601,077","585,607",626486,63,3.7,-2.6,7.0,3,
Iowa,"958,749","1,056,475","1,030,164",964151,34,10.2,-2.5,-6.4,88,
Jackson,"650,350","656,175","657,182",659075,60,0.9,0.2,0.3,40,
Jasper,"1,173,443","1,263,278","1,174,829",1174834,28,7.7,-7.0,0.0,43,
Jefferson,"668,419","728,766","759,316",740786,56,9.0,4.2,-2.4,70,
Johnson,"9,325,714","9,628,637","9,619,140",9674806,4,3.2,-0.1,0.6,36,
Jones,"617,724","663,580","648,764",673402,58,7.4,-2.2,3.8,14,
Keokuk,"307,509","344,599","341,034",336576,90,12.1,-1.0,-1.3,56,
Kossuth,"800,456","1,015,152","1,019,568",981971,33,26.8,0.4,-3.7,77,
Lee,"1,837,322","1,892,125","1,766,447",1774682,18,3.0,-6.6,0.5,39,
Linn,"16,503,977","17,599,547","17,469,041",17227849,2,6.6,-0.7,-1.4,57,
Louisa,"644,727","796,656","728,855",769295,54,23.6,-8.5,5.5,6,
Lucas,"312,557","325,619","291,964",266695,94,4.2,-10.3,-8.7,94,
Lyon,"858,408","891,519","978,861",960549,35,3.9,9.8,-1.9,67,
Madison,"417,513","458,619","489,323",506735,75,9.8,6.7,3.6,17,
Mahaska,"814,431","889,100","903,031",870010,43,9.2,1.6,-3.7,76,
Marion,"2,099,257","2,075,316","2,094,329",2189021,15,-1.1,0.9,4.5,7,
Marshall,"1,816,177","1,798,738","1,780,092",1772838,19,-1.0,-1.0,-0.4,50,
Mills,"520,780","574,310","510,787",512229,74,10.3,-11.1,0.3,41,
Mitchell,"575,588","679,507","724,359",804208,52,18.1,6.6,11.0,2,
Monona,"298,222","345,578","340,783",383764,85,15.9,-1.4,12.6,1,
Monroe,"404,883","469,215","486,008",484287,77,15.9,3.6,-0.4,49,
Montgomery,"408,098","458,447","444,898",423925,83,12.3,-3.0,-4.7,80,
Muscatine,"2,524,407","2,579,698","2,600,478",2524754,13,2.2,0.8,-2.9,72,
O'Brien,"851,017","879,384","912,489",898626,39,3.3,3.8,-1.5,59,
Osceola,"327,661","371,115","423,475",379581,86,13.3,14.1,-10.4,96,
Page,"585,163","661,678","623,528",636541,61,13.1,-5.8,2.1,25,
Palo Alto,"453,868","551,243","605,280",556422,67,21.5,9.8,-8.1,93,
Plymouth,"1,318,864","1,477,344","1,591,809",1569701,21,12.0,7.7,-1.4,58,
Pocahontas,"456,455","516,614","524,095",471793,79,13.2,1.4,-10.0,95,
Polk,"45,762,189","50,054,908","48,612,201",48719285,1,9.4,-2.9,0.2,42,
Pottawattamie,"4,077,222","4,297,517","4,458,541",4552586,10,5.4,3.7,2.1,23,
Poweshiek,"1,131,506","1,212,411","1,254,481",1215623,26,7.2,3.5,-3.1,75,
Ringgold,"173,369","181,925","167,645",157466,99,4.9,-7.8,-6.1,86,
Sac,"470,926","558,927","577,735",581965,65,18.7,3.4,0.7,33,
Scott,"9,360,735","9,742,445","9,967,788",10401105,3,4.1,2.3,4.3,8,
Shelby,"659,776","788,080","776,127",808166,50,19.4,-1.5,4.1,11,
Sioux,"2,453,212","2,415,073","2,629,475",2577309,12,-1.6,8.9,-2.0,69,
Story,"5,478,189","5,866,351","5,918,704",5913693,8,7.1,0.9,-0.1,44,
Tama,"639,183","699,944","675,650",662882,59,9.5,-3.5,-1.9,68,
Taylor,"241,600","297,021","281,769",281085,93,22.9,-5.1,-0.2,47,
Union,"684,499","777,398","813,875",820383,47,13.6,4.7,0.8,32,
Van Buren,"211,246","243,458","252,097",223115,96,15.2,3.5,-11.5,98,
Wapello,"1,610,261","1,750,797","1,729,897",1720335,20,8.7,-1.2,-0.6,51,
Warren,"1,262,225","1,386,788","1,414,780",1435070,22,9.9,2.0,1.4,29,
Washington,"1,021,520","1,265,500","1,352,873",1263482,25,23.9,6.9,-6.6,90,
Wayne,"215,122","270,228","246,584",227226,95,25.6,-8.7,-7.9,92,
Webster,"1,943,542","2,163,595","2,121,387",2115534,17,11.3,-2.0,-0.3,48,
Winnebago,"429,233","487,823","522,195",481408,78,13.6,7.0,-7.8,91,
Winneshiek,"993,714","1,020,918","1,011,963",1001120,32,2.7,-0.9,-1.1,55,
Woodbury,"5,082,484","5,312,111","5,322,422",5531457,9,4.5,0.2,3.9,12,
Worth,"288,342","362,249","360,959",368459,87,25.6,-0.4,2.1,26,
Wright,"620,011","744,396","867,550",841855,45,20.1,16.5,-3.0,74,
,,,,,,,,,,
Kansas,"168,056,838","172,782,367","177,470,140",183795569,--,2.8,2.7,3.6,--,
Allen,"553,037","580,401","550,054",550597,39,4.9,-5.2,0.1,84,
Anderson,"305,472","408,161","354,141",387165,47,33.6,-13.2,9.3,45,
Atchison,"679,299","685,939","607,577",613259,34,1.0,-11.4,0.9,80,
Barber,"183,228","181,074","184,993",202673,77,-1.2,2.2,9.6,43,
Barton,"1,240,269","1,204,166","1,189,786",1292914,21,-2.9,-1.2,8.7,46,
Bourbon,"583,999","575,798","571,403",577764,36,-1.4,-0.8,1.1,79,
Brown,"525,471","604,444","521,312",504554,41,15.0,-13.8,-3.2,99,
Butler,"2,457,347","2,570,143","2,465,344",2724650,10,4.6,-4.1,10.5,41,
Chase,"132,958","133,887","125,144",124425,99,0.7,-6.5,-0.6,89,
Chautauqua,"70,596","71,296","71,544",85261,102,1.0,0.3,19.2,24,
Cherokee,"824,817","837,323","885,661",834410,26,1.5,5.8,-5.8,100,
Cheyenne,"124,999","143,127","129,370",132840,95,14.5,-9.6,2.7,73,
Clark,"191,010","199,773","204,200",216834,71,4.6,2.2,6.2,54,
Clay,"282,660","296,052","252,866",282112,62,4.7,-14.6,11.6,39,
Cloud,"394,082","415,140","401,365",456890,44,5.3,-3.3,13.8,36,
Coffey,"868,594","735,453","690,520",717940,29,-15.3,-6.1,4.0,62,
Comanche,"52,127","52,994","50,639",71049,105,1.7,-4.4,40.3,4,
Cowley,"1,238,085","1,320,180","1,313,399",1311009,20,6.6,-0.5,-0.2,86,
Crawford,"1,656,751","1,696,000","1,649,729",1646436,17,2.4,-2.7,-0.2,87,
Decatur,"139,254","139,984","189,849",161677,87,0.5,35.6,-14.8,103,
Dickinson,"614,124","694,780","648,000",665664,32,13.1,-6.7,2.7,72,
Doniphan,"271,990","295,041","249,004",247113,64,8.5,-15.6,-0.8,90,
Douglas,"5,005,574","5,169,496","5,242,985",5438191,5,3.3,1.4,3.7,63,
Edwards,"166,042","161,639","140,342",167344,85,-2.7,-13.2,19.2,23,
Elk,"76,435","75,211","74,382",86035,101,-1.6,-1.1,15.7,34,
Ellis,"1,584,182","1,679,290","1,665,117",1738049,16,6.0,-0.8,4.4,59,
Ellsworth,"275,056","270,538","263,745",281763,63,-1.6,-2.5,6.8,51,
Finney,"2,157,260","2,278,299","2,235,092",2310012,13,5.6,-1.9,3.4,66,
Ford,"2,270,057","2,410,030","2,444,051",2405288,12,6.2,1.4,-1.6,95,
Franklin,"873,124","901,381","855,595",873801,25,3.2,-5.1,2.1,74,
Geary,"2,938,556","3,004,582","2,921,993",2847226,9,2.2,-2.7,-2.6,98,
Gove,"162,635","198,162","218,753",225172,67,21.8,10.4,2.9,69,
Graham,"124,421","146,019","138,513",171650,84,17.4,-5.1,23.9,15,
Grant,"479,229","417,583","365,270",384780,48,-12.9,-12.5,5.3,57,
Gray,"599,549","563,571","559,615",658720,33,-6.0,-0.7,17.7,30,
Greeley,"144,287","142,527","147,307",129986,97,-1.2,3.4,-11.8,102,
Greenwood,"153,365","147,840","138,422",177441,83,-3.6,-6.4,28.2,12,
Hamilton,"241,877","175,348","169,378",216527,72,-27.5,-3.4,27.8,13,
Harper,"275,111","282,260","270,338",291040,60,2.6,-4.2,7.7,48,
Harvey,"1,286,862","1,369,818","1,323,906",1345105,19,6.4,-3.4,1.6,78,
Haskell,"338,451","297,929","262,244",369292,51,-12.0,-12.0,40.8,3,
Hodgeman,"117,562","109,208","99,854",139278,93,-7.1,-8.6,39.5,5,
Jackson,"364,464","384,379","349,328",365647,52,5.5,-9.1,4.7,58,
Jefferson,"432,713","438,942","380,177",372622,50,1.4,-13.4,-2.0,97,
Jewell,"109,668","119,598","72,980",130802,96,9.1,-39.0,79.2,1,
Johnson,"49,871,351","50,966,172","56,463,157",58411422,1,2.2,10.8,3.5,64,
Kearny,"204,884","212,814","189,853",227969,66,3.9,-10.8,20.1,20,
Kingman,"351,274","317,178","293,355",315236,57,-9.7,-7.5,7.5,49,
Kiowa,"134,045","130,372","107,166",114986,100,-2.7,-17.8,7.3,50,
Labette,"816,291","797,571","816,715",803553,27,-2.3,2.4,-1.6,96,
Lane,"114,129","110,257","117,907",151780,89,-3.4,6.9,28.7,10,
Leavenworth,"2,908,926","2,988,486","2,949,388",3046021,6,2.7,-1.3,3.3,67,
Lincoln,"130,992","124,198","113,298",147096,91,-5.2,-8.8,29.8,9,
Linn,"518,377","497,593","486,311",487297,43,-4.0,-2.3,0.2,83,
Logan,"152,680","156,209","165,426",165949,86,2.3,5.9,0.3,81,
Lyon,"1,408,723","1,460,737","1,488,273",1536126,18,3.7,1.9,3.2,68,
McPherson,"1,954,320","1,889,820","1,889,687",2007929,15,-3.3,0.0,6.3,53,
Marion,"391,896","388,384","360,666",401797,46,-0.9,-7.1,11.4,40,
Marshall,"541,469","548,301","562,919",555505,38,1.3,2.7,-1.3,93,
Meade,"230,998","256,616","190,422",224946,68,11.1,-25.8,18.1,28,
Miami,"984,300","1,012,532","1,015,130",1071145,24,2.9,0.3,5.5,56,
Mitchell,"490,084","505,199","445,418",536474,40,3.1,-11.8,20.4,19,
Montgomery,"1,703,625","1,906,740","1,848,919",2037902,14,11.9,-3.0,10.2,42,
Morris,"189,918","189,143","181,887",208496,74,-0.4,-3.8,14.6,35,
Morton,"136,217","143,969","119,474",151360,90,5.7,-17.0,26.7,14,
Nemaha,"501,394","534,970","493,916",491989,42,6.7,-7.7,-0.4,88,
Neosho,"563,366","588,358","577,039",612619,35,4.4,-1.9,6.2,55,
Ness,"178,493","186,549","180,772",212760,73,4.5,-3.1,17.7,31,
Norton,"247,487","256,627","274,686",310436,58,3.7,7.0,13.0,37,
Osage,"321,153","333,519","293,375",317349,56,3.9,-12.0,8.2,47,
Osborne,"170,921","169,072","150,614",198611,78,-1.1,-10.9,31.9,8,
Ottawa,"121,982","132,565","119,381",134837,94,8.7,-9.9,12.9,38,
Pawnee,"274,376","275,722","240,095",285582,61,0.5,-12.9,18.9,25,
Phillips,"327,233","385,225","346,546",413878,45,17.7,-10.0,19.4,22,
Pottawatomie,"1,226,554","1,312,542","1,321,859",1191831,23,7.0,0.7,-9.8,101,
Pratt,"566,437","580,143","552,526",574584,37,2.4,-4.8,4.0,61,
Rawlins,"138,412","164,074","191,939",129470,98,18.5,17.0,-32.5,105,
Reno,"2,568,355","2,621,251","2,574,214",2661870,11,2.1,-1.8,3.4,65,
Republic,"200,024","217,060","159,211",219863,69,8.5,-26.7,38.1,6,
Rice,"527,146","631,803","631,255",673956,31,19.9,-0.1,6.8,52,
Riley,"2,677,702","2,791,792","2,868,446",2986995,7,4.3,2.7,4.1,60,
Rooks,"185,689","192,991","164,554",217986,70,3.9,-14.7,32.5,7,
Rush,"143,625","157,132","128,197",153710,88,9.4,-18.4,19.9,21,
Russell,"263,502","285,324","259,337",304424,59,8.3,-9.1,17.4,33,
Saline,"2,703,970","2,913,229","2,953,576",2951984,8,7.7,1.4,-0.1,85,
Scott,"346,904","320,931","321,491",380077,49,-7.5,0.2,18.2,27,
Sedgwick,"30,287,740","31,036,019","32,241,558",32926595,2,2.5,3.9,2.1,75,
Seward,"1,228,952","1,316,863","1,281,571",1285571,22,7.2,-2.7,0.3,82,
Shawnee,"10,449,207","10,843,481","10,847,559",11062377,4,3.8,0.0,2.0,76,
Sheridan,"146,152","141,557","147,998",182027,82,-3.1,4.5,23.0,18,
Sherman,"294,273","319,114","325,675",322253,55,8.4,2.1,-1.1,92,
Smith,"172,003","194,394","151,914",195493,79,13.0,-21.9,28.7,11,
Stafford,"177,118","174,616","142,819",203654,76,-1.4,-18.2,42.6,2,
Stanton,"198,651","207,469","190,164",187303,80,4.4,-8.3,-1.5,94,
Stevens,"320,993","351,660","284,970",334599,53,9.6,-19.0,17.4,32,
Sumner,"692,168","712,156","717,556",738340,28,2.9,0.8,2.9,70,
Thomas,"586,952","650,937","696,747",689630,30,10.9,7.0,-1.0,91,
Trego,"157,686","164,142","154,786",182719,81,4.1,-5.7,18.0,29,
Wabaunsee,"143,564","148,127","127,756",139826,92,3.2,-13.8,9.4,44,
Wallace,"95,549","95,049","98,390",81315,104,-0.5,3.5,-17.4,104,
Washington,"232,273","231,165","172,370",204458,75,-0.5,-25.4,18.6,26,
Wichita,"211,631","203,211","188,363",231735,65,-4.0,-7.3,23.0,17,
Wilson,"298,226","319,513","314,613",323292,54,7.1,-1.5,2.8,71,
Woodson,"74,733","75,969","66,216",81730,103,1.7,-12.8,23.4,16,
Wyandotte,"11,220,623","11,340,035","11,396,822",11587330,3,1.1,0.5,1.7,77,
,,,,,,,,,,
Kentucky,"206,049,605","215,133,236","219,755,630",224418023,--,4.4,2.1,2.1,--,
Adair,"375,827","384,215","394,545",401269,70,2.2,2.7,1.7,76,
Allen,"437,796","468,465","499,604",470693,62,7.0,6.6,-5.8,116,
Anderson,"547,796","566,108","569,657",587853,56,3.3,0.6,3.2,51,
Ballard,"215,369","243,469","245,503",262736,89,13.0,0.8,7.0,14,
Barren,"1,376,520","1,403,094","1,386,093",1393900,29,1.9,-1.2,0.6,88,
Bath,"192,128","191,531","201,644",205484,99,-0.3,5.3,1.9,71,
Bell,"706,466","732,121","723,527",746751,51,3.6,-1.2,3.2,49,
Boone,"11,743,729","12,359,931","12,463,489",12390860,3,5.2,0.8,-0.6,98,
Bourbon,"850,556","877,051","870,906",922480,42,3.1,-0.7,5.9,24,
Boyd,"2,735,147","2,917,490","2,695,597",2906677,14,6.7,-7.6,7.8,7,
Boyle,"1,194,203","1,235,854","1,294,377",1326937,30,3.5,4.7,2.5,61,
Bracken,"154,590","166,166","167,062",171819,109,7.5,0.5,2.8,57,
Breathitt,"205,118","206,721","219,234",234667,94,0.8,6.1,7.0,13,
Breckinridge,"374,459","410,172","390,973",376576,72,9.5,-4.7,-3.7,113,
Bullitt,"2,558,450","2,744,556","2,808,939",2663712,15,7.3,2.3,-5.2,115,
Butler,"290,828","305,187","298,006",311477,83,4.9,-2.4,4.5,33,
Caldwell,"387,640","423,916","427,443",419651,65,9.4,0.8,-1.8,105,
Calloway,"1,408,921","1,420,045","1,403,321",1423963,27,0.8,-1.2,1.5,81,
Campbell,"3,368,850","3,523,732","3,618,576",3781082,10,4.6,2.7,4.5,34,
Carlisle,"158,353","177,217","174,396",188897,103,11.9,-1.6,8.3,5,
Carroll,"1,771,240","1,802,650","1,928,206",1869655,23,1.8,7.0,-3.0,109,
Carter,"490,225","490,624","496,104",504300,61,0.1,1.1,1.7,79,
Casey,"343,729","347,962","338,702",344675,76,1.2,-2.7,1.8,73,
Christian,"5,872,581","6,070,758","6,041,781",6064788,6,3.4,-0.5,0.4,92,
Clark,"1,476,518","1,518,868","1,554,200",1534534,26,2.9,2.3,-1.3,101,
Clay,"355,432","356,568","344,326",359732,75,0.3,-3.4,4.5,35,
Clinton,"333,616","341,155","342,459",319516,81,2.3,0.4,-6.7,118,
Crittenden,"169,566","184,567","179,434",188434,105,8.8,-2.8,5.0,29,
Cumberland,"163,731","159,643","168,792",180698,108,-2.5,5.7,7.1,12,
Daviess,"4,606,067","4,587,504","4,562,148",4652119,9,-0.4,-0.6,2.0,70,
Edmonson,"180,247","185,720","186,043",186493,106,3.0,0.2,0.2,94,
Elliott,"76,277","75,028","78,034",84941,118,-1.6,4.0,8.9,4,
Estill,"212,828","210,533","224,072",234918,93,-1.1,6.4,4.8,30,
Fayette,"19,728,959","20,502,887","21,427,816",22149133,2,3.9,4.5,3.4,48,
Fleming,"317,956","325,686","328,429",326112,80,2.4,0.8,-0.7,100,
Floyd,"1,025,595","1,081,848","1,078,946",1096792,37,5.5,-0.3,1.7,78,
Franklin,"3,082,240","3,169,517","3,299,011",3439911,12,2.8,4.1,4.3,37,
Fulton,"186,913","211,136","209,494",222797,96,13.0,-0.8,6.4,21,
Gallatin,"348,410","349,900","357,153",394823,71,0.4,2.1,10.5,2,
Garrard,"253,123","256,938","275,033",295918,87,1.5,7.0,7.6,9,
Grant,"503,889","570,797","562,723",575458,57,13.3,-1.4,2.3,68,
Graves,"1,188,302","1,251,622","1,312,739",1290645,31,5.3,4.9,-1.7,104,
Grayson,"712,655","737,616","733,554",723147,52,3.5,-0.6,-1.4,102,
Green,"174,741","177,783","169,050",164384,111,1.7,-4.9,-2.8,108,
Greenup,"783,130","796,923","768,710",805423,49,1.8,-3.5,4.8,32,
Hancock,"783,493","778,260","852,511",878191,43,-0.7,9.5,3.0,54,
Hardin,"5,174,371","5,458,100","5,663,754",5739094,7,5.5,3.8,1.3,83,
Harlan,"472,667","500,306","558,676",568524,58,5.8,11.7,1.8,74,
Harrison,"498,056","536,958","532,238",535178,59,7.8,-0.9,0.6,89,
Hart,"559,073","582,566","590,449",598024,55,4.2,1.4,1.3,84,
Henderson,"1,948,812","1,986,101","2,052,671",2171778,19,1.9,3.4,5.8,25,
Henry,"311,735","324,224","322,794",343437,77,4.0,-0.4,6.4,19,
Hickman,"139,460","169,682","183,898",188438,104,21.7,8.4,2.5,62,
Hopkins,"1,698,843","1,800,012","1,875,091",1912179,22,6.0,4.2,2.0,69,
Jackson,"166,585","160,771","157,729",167968,110,-3.5,-1.9,6.5,17,
Jefferson,"56,226,385","58,750,223","59,915,464",60907816,1,4.5,2.0,1.7,77,
Jessamine,"2,056,180","2,054,796","2,093,813",2177706,18,-0.1,1.9,4.0,40,
